,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,6578.70306715,1510619700,6579.2255,6555.00000001,6561.25301923,33.1695893,217795.78205492,6566.12839203
1,6579.99999999,1510620000,6580.99999985,6571.0108,6579.2255,60.81312093,400096.00574133,6579.10660763
2,6579.60010001,1510620300,6588.99999997,6570,6579.99999999,27.33763427,179839.03643428,6578.44181607
3,6593.6707,1510620600,6600.7458,6573.10000018,6583.06849997,83.82543321,552809.89005777,6594.7752238
4,6616.35,1510620900,6616.35,6591.3,6599.99999975,50.3616079,332696.09246645,6606.14516373
5,6637.52,1510621200,6637.52,6613.573763,6616.34999974,34.25814308,226895.49555197,6623.11132924
6,6565.30746782,1510621500,6638,6565.30746781,6635.00000001,74.49675258,492063.74877306,6605.17045014
7,6588,1510621800,6608.3786,6531.59227472,6565.30746782,65.36980087,429594.01090243,6571.75033708
8,6583.50040013,1510622100,6597.05186149,6583,6588,7.58110953,49933.79697509,6586.60803903
9,6638.65116987,1510622400,6640.74309996,6580,6583.50040013,29.57075138,195689.49484118,6617.67069515
10,6642.79324373,1510622700,6649.94921182,6630.94921182,6638.65116987,31.41588254,208596.78740441,6639.85126436
11,6648.9622,1510623000,6649.99999999,6605.94007893,6641.2898,12.3676262,81979.78012008,6628.57841871
12,6645.47960003,1510623300,6650.00000001,6640.31840015,6643.93560007,23.56433843,156642.01247122,6647.4182136
13,6622.0863,1510623600,6649.99999988,6610.61809997,6645.47960003,14.20554787,94253.29036843,6634.96341225
14,6615.00000002,1510623900,6624.07319997,6556.09450002,6622.0863,42.49614547,279874.93038255,6585.8897857
15,6608.63299992,1510624200,6623.0216,6594.99999989,6605.03776235,12.37590094,81777.55402026,6607.80612391
16,6594.85585207,1510624500,6614.81811528,6588,6601.2959,21.29428062,140541.58788209,6599.96880806
17,6576.99999999,1510624800,6600.3447,6569.90000003,6594.4793,35.44449532,233230.81600184,6580.17031689
18,6561.7677,1510625100,6600.00000001,6560,6587.2037546,15.15052257,99678.1833393,6579.1911057
19,6546.93249997,1510625400,6567.45789989,6530.90000013,6567.45789989,32.51832474,213176.33489791,6555.57555939
20,6566.14380004,1510625700,6567.45789994,6548.03530002,6550,18.87141112,123697.27826348,6554.74450092
21,6588.20630028,1510626000,6599.36,6567.00000001,6567.45789994,13.16743612,86710.18667084,6585.19896209
22,6612.00000017,1510626300,6632.8374,6588.20630029,6588.20630029,31.46620397,208027.73649491,6611.14816052
23,6608.055,1510626600,6650,6600.09569987,6614.7755,78.17296921,518383.55889407,6631.2379347
24,6609.99999988,1510626900,6623.42657284,6583.87000001,6613,38.14610586,252019.51570571,6606.69051332
25,6634.9999,1510627200,6650,6609.99999988,6609.99999988,27.44123409,181876.82140495,6627.86596289
26,6613.5911,1510627500,6640.55959992,6613,6636.56475824,35.62512915,236061.3839255,6626.26043912
27,6610.8993265,1510627800,6618.15096404,6597.5869,6618.15096401,14.61008559,96595.21739868,6611.54356719
28,6612,1510628100,6623.99999941,6610,6611.16997308,22.80012969,150778.23848023,6613.04301906
29,6620.00000003,1510628400,6629.68789905,6600.49163398,6612,40.37206913,266941.6596644,6612.03810993
30,6633.00000003,1510628700,6650,6613.18568921,6620.00000003,12.81393891,85016.38188612,6634.67981884
31,6649.99999993,1510629000,6649.99999998,6633,6638.1023,33.98921932,225727.59786544,6641.15276494
32,6644.3735,1510629300,6650,6638.62590015,6642.5539,13.81271292,91813.95205828,6647.06148531
33,6646.00000001,1510629600,6652.45729369,6644.3735,6644.3735,15.85492712,105386.80694398,6646.94363754
34,6650.3805,1510629900,6652.4572888,6646,6652.45728877,9.7822039,65033.20191125,6648.11351062
35,6653,1510630200,6660,6646.00000001,6650.3805,24.30375653,161682.64477298,6652.5783606
36,6648.3861,1510630500,6659.99999999,6646.34700012,6658.01819994,15.49017516,103123.61836362,6657.35650491
37,6665.8539475,1510630800,6666.94896355,6646.00000001,6654.2915881,19.0807196,127008.83072689,6656.39626751
38,6683.0599939,1510631100,6687.99999997,6665.85394749,6667.111,51.70961481,345325.29937142,6678.1642184
39,6669.7195,1510631400,6683.05999391,6642.32,6680,68.96438507,460114.24093526,6671.7660205
40,6611.58165487,1510631700,6672.71239989,6611.58165487,6667.6312,126.43377834,840416.22732083,6647.08623245
41,6610,1510632000,6620,6606.0000001,6615.00000002,34.38518939,227337.18125044,6611.48550534
42,6564,1510632300,6617.71999672,6564,6610,94.73035795,624158.0953,6588.78641237
43,6580,1510632600,6585.99999999,6535.1716382,6564,80.16868278,526358.61452517,6565.63880399
44,6576.01230003,1510632900,6580.00000001,6550,6580,53.06189996,348296.664349,6563.96896099
45,6570.00000006,1510633200,6583.37336246,6570.00000003,6579.9839,37.59366929,247265.8682219,6577.32732377
46,6584.45409999,1510633500,6585,6560.9999999,6570.67410817,13.88863806,91278.00304795,6572.1349101
47,6604.85500003,1510633800,6611.74195534,6576.94086335,6584.45409999,15.19663636,100206.35702711,6593.98268493
48,6616.51200004,1510634100,6636.40476427,6602,6604.85500003,33.80403741,223817.1467213,6621.01819397
49,6610,1510634400,6645.90329996,6610,6635.13734534,26.95624763,178768.13346217,6631.78851581
50,6611.00000001,1510634700,6630,6609.8523603,6609.8523603,17.00881648,112626.76152184,6621.66951206
51,6606,1510635000,6620.40759997,6606,6620.40759997,11.78442866,77908.6730408,6611.15403118
52,6600.7510964,1510635300,6619.99999993,6600.7510964,6606,12.94399129,85555.27772929,6609.65198542
53,6577.02979866,1510635600,6608.48054107,6569.68790797,6606.3408,44.47648898,293137.05493324,6590.8317328
54,6548.12521594,1510635900,6589,6547.79941226,6581.1139652,15.49935355,101872.36064055,6572.68448725
55,6573.31189035,1510636200,6582.07971101,6530,6547.79941226,25.62588903,167653.12327995,6542.33392971
56,6551.8635,1510636500,6586.73431354,6540.00000001,6582.07971098,13.91804124,91351.53050888,6563.53354136
57,6540.7052949,1510636800,6557.26048405,6527.46091253,6551.8635,37.4579015,245131.48401511,6544.18625173
58,6557.3731679,1510637100,6566.27710577,6540.70529489,6542.6749484,44.76398344,293396.76929123,6554.30430324
59,6549.43378398,1510637400,6562.2856,6533.77410513,6557.37316793,25.1693842,164764.30300495,6546.21907694
60,6549.99999997,1510637700,6570.27710577,6542.19469227,6549.43378398,26.24776302,172123.70923711,6557.65251712
61,6535.18352551,1510638000,6546.3407,6532.069974,6546.3407,20.7040556,135364.00741949,6538.04307883
62,6513.6224426,1510638300,6539.99999979,6513.6224426,6532.069974,36.26124394,236587.50572228,6524.52811916
63,6533.87660003,1510638600,6540,6510.99999994,6513.59148837,19.40287694,126557.7592271,6522.62855753
64,6533.51309993,1510638900,6539.99999997,6516.75143618,6537.353,21.640863,141297.51552095,6529.19966828
65,6552.55568812,1510639200,6552.55568812,6517.21780783,6534.99999997,13.77791495,90009.74001771,6532.89995941
66,6549.47000001,1510639500,6580.08714231,6541.963769,6552.55568812,13.93141059,91420.2066064,6562.16439934
67,6581.75591339,1510639800,6581.75591351,6541.96376901,6557.06039993,9.36954903,61499.36210447,6563.74836265
68,6581.8322,1510640100,6594,6568.99999949,6576.6174,9.97017109,65615.05814754,6581.13662797
69,6579.66580003,1510640400,6594,6579.66580003,6583.048,15.72788361,103584.50775852,6586.04236444
70,6568.13258935,1510640700,6589.66580003,6567.65108526,6579.66580003,8.18742215,53820.77270549,6573.59199506
71,6560.96230002,1510641000,6579.96389985,6552.77446114,6568.13258943,11.02725708,72464.52693682,6571.40088519
72,6556.46409975,1510641300,6575.3621922,6550,6571.5954,14.09580503,92369.27777492,6552.96221665
73,6549.34271348,1510641600,6556.46409975,6534.99999942,6551.2742,7.21676205,47236.05794467,6545.32567616
74,6559.182,1510641900,6561.25,6541.87000004,6549.34271341,8.45625329,55402.27659513,6551.63400328
75,6559,1510642200,6564.18407091,6544.3614336,6561.25,7.34955204,48176.50444188,6555.02596344
76,6540.00000002,1510642500,6565.81519824,6540.00000002,6559,21.80354963,142875.82651931,6552.87001171
77,6520.70077837,1510642800,6545.99999996,6520.70077837,6544.90979988,23.12992997,151132.69056136,6534.07471433
78,6538.8530784,1510643100,6553.99999999,6520.70077837,6524.7451944,16.83483436,109994.92780251,6533.7695311
79,6560.00000033,1510643400,6568.936,6538.9671,6543.00229976,18.30291984,119943.86855276,6553.26415682
80,6555.00000013,1510643700,6566.92829983,6550,6565.8051,9.45196145,62008.23921581,6560.35676233
81,6560.07688923,1510644000,6566.851778,6555.00000017,6555.44455544,8.22016823,53929.35090201,6560.6140158
82,6555.169,1510644300,6566.85177799,6550,6562.28769934,10.48887369,68803.34642552,6559.65058394
83,6562.7338,1510644600,6566.85177797,6555,6560.48949997,3.48197275,22847.71972642,6561.71698254
84,6537.6087,1510644900,6562.73379997,6532.63672245,6562.57299997,10.41773365,68222.03878878,6548.6449434
85,6535.31970003,1510645200,6550.6692999,6532.6749306,6539.37569994,3.27910568,21450.55287745,6541.58632589
86,6540.00000024,1510645500,6548.69356908,6532.8517776,6541.3782,9.8508804,64437.50008579,6541.29351583
87,6539.4345989,1510645800,6540.00000024,6519.80708129,6540.00000024,14.48103438,94531.5928056,6527.95859225
88,6560.68396839,1510646100,6563,6539.4345989,6540.00000008,15.53388468,101815.20999814,6554.39460866
89,6545.02608154,1510646400,6569.89687392,6540.00000007,6560.9314,13.2038968,86547.60436124,6554.70166665
90,6557.5,1510646700,6562,6545.02608154,6550.79692976,7.85705106,51481.69521357,6552.29230667
91,6544.99999988,1510647000,6565.02608166,6543,6557.2248666,11.28819069,74034.19586145,6558.55290671
92,6541.86683111,1510647300,6557.04465249,6518.11,6543,29.24977245,190954.69802044,6528.41653202
93,6515.8678,1510647600,6546.14737316,6513.57160078,6546.14737316,15.83872499,103441.86078972,6530.94620021
94,6468.3416999,1510647900,6532.35299262,6468.3416999,6519.0610995,25.96843946,168592.26944599,6492.1987209
95,6462.3416999,1510648200,6480.13898561,6453.22744344,6468.3416999,19.55948087,126549.03938999,6469.9590051
96,6472.22763654,1510648500,6486.84097761,6458.5636784,6462.3416999,14.13634493,91505.4899356,6473.06573153
97,6430.00000001,1510648800,6485,6430.00000001,6484.99999993,21.35717716,137972.07030762,6460.22034063
98,6440,1510649100,6450,6425,6433,15.80967102,101797.85575548,6438.96104015
99,6447.76219993,1510649400,6455.123,6440,6445.0716999,25.42890759,163908.14818846,6445.74084074
100,6450,1510649700,6455.12299999,6430,6450.62599984,24.89094012,160311.60344501,6440.5604076
101,6468.56700001,1510650000,6480,6450,6450,9.7438618,62936.94689621,6459.13788475
102,6480,1510650300,6481.95291618,6460.57824576,6468.56700001,17.12450507,110928.27598119,6477.75077456
103,6499.868102,1510650600,6505.62096475,6461.68430516,6480.63911872,22.63399048,146640.98815204,6478.79516789
104,6504.14381673,1510650900,6506.11,6488.35200934,6499.86810201,20.56644885,133607.45939094,6496.37963099
105,6491.954,1510651200,6504.14381674,6480,6504.14381673,17.45443838,113360.07133789,6494.62726155
106,6503.48999998,1510651500,6510,6487.74799769,6491.954,23.93229592,155608.39462417,6502.02534451
107,6500.85992195,1510651800,6510,6494.73000749,6503.48999999,41.97568574,272928.2399376,6502.05553824
108,6507.98999994,1510652100,6520,6500.85992192,6500.85992195,23.40006839,152210.19552403,6504.69019949
109,6511.34429764,1510652400,6517.52139624,6497.2221589,6507.98999994,18.65536213,121381.55361419,6506.52358117
110,6503.03901469,1510652700,6515,6488.22292063,6505.16856119,15.88248226,103246.97362084,6500.68244564
111,6522.56290923,1510653000,6523.1148576,6503.03901469,6503.03901469,7.60102162,49514.46089882,6514.18498383
112,6540,1510653300,6540.1998444,6517.31362318,6519.99999994,5.0302686,32829.2027731,6526.33196825
113,6568.1912201,1510653600,6569.38480811,6532.1341886,6540,22.24143828,145810.13233094,6555.78701769
114,6572.38480811,1510653900,6578,6568.1912201,6569.38480811,11.37612539,74787.4078672,6574.06676731
115,6550.04048786,1510654200,6574.4568,6537.48960276,6574.4568,17.99292536,117989.54712036,6557.55219118
116,6560,1510654500,6560,6550.04048786,6554.99999993,7.7794032,51007.42587342,6556.72736867
117,6527.1486,1510654800,6562,6518.68940161,6560,19.08805315,124896.07605908,6543.15424824
118,6498.90422566,1510655100,6532.99999992,6498.00000001,6518.68940168,78.7232992,512648.59203036,6512.03134573
119,6503.43730002,1510655400,6516.87604971,6481.1293903,6503.0935,23.75010418,154488.31258085,6504.74252281
120,6525.2476,1510655700,6543.46489879,6503.43730003,6505.48860965,18.9981872,123957.25771563,6524.68871954
121,6540.8415248,1510656000,6547,6518,6524.99499998,8.71130001,56883.36009355,6529.83596343
122,6533.25944338,1510656300,6547,6523,6547,24.0756454,157230.03955686,6530.66769112
123,6543.00000012,1510656600,6556.32519116,6530,6530.00000012,11.38514706,74469.04476429,6540.89441022
124,6545.76886579,1510656900,6562.006172,6543.00000001,6543.00000001,18.9738154,124353.15073158,6553.93488921
125,6504.34959999,1510657200,6545.76886575,6492.00000001,6545,23.03395851,150104.7782796,6516.67312044
126,6524.9794297,1510657500,6524.9794297,6500.00000004,6504.34959999,8.05521279,52459.8519736,6512.53459607
127,6524.11319986,1510657800,6534.95532183,6510.00000004,6524.9794297,10.99755823,71782.20592664,6527.10396484
128,6479.21999993,1510658100,6518.09689997,6450.12,6518.09689997,30.59821064,198040.26701672,6472.28262288
129,6456.04897082,1510658400,6480.3059827,6456.04897061,6479.21999989,9.03951703,58480.07473662,6469.38044837
130,6444.2586,1510658700,6467.0398,6421.18421104,6467.0398,69.55814464,447907.63404329,6439.32693089
131,6444.04019996,1510659000,6456.58013005,6422.8167,6444.00000032,20.08370374,129383.93551307,6442.23481824
132,6440.73010219,1510659300,6449.99999999,6405.123,6445.97369999,48.54709293,312192.43196221,6430.71321309
133,6472.7378,1510659600,6489.78363567,6436.141,6440.73010219,22.86189238,147852.61292837,6467.20798396
134,6425.32756891,1510659900,6472.7378,6425.32756891,6472.7378,26.42324485,170122.82345475,6438.377437
135,6418.03462862,1510660200,6444.3555,6406,6426.60230052,26.02199235,167139.07779659,6422.99311861
136,6423,1510660500,6424.99999991,6405.15146731,6412.017,16.474928,105686.81267508,6415.00907773
137,6386.4629336,1510660800,6422.73558245,6386.4629336,6416.36860001,54.96570798,351935.80808182,6402.82497971
138,6347.99999999,1510661100,6389.9722,6299.35892763,6389.9722,145.42006517,920723.09930696,6331.4721956
139,6330,1510661400,6349,6317.94292293,6347.99999999,46.24867798,292984.08231242,6334.97204912
140,6365.330402,1510661700,6365.56962612,6317.94292293,6323.8,48.96171932,310384.17125284,6339.32336453
141,6391.08270007,1510662000,6395,6341.58796601,6365.56962612,23.9222495,152431.43933447,6371.95257638
142,6388.61768797,1510662300,6399.99999999,6361.44420003,6394,15.46646767,98809.14542005,6388.60453002
143,6372.1937,1510662600,6386,6353.83477165,6371.85298654,11.79588429,75126.68961758,6368.89001032
